	Energy_(eV)	Formation Energy per Atom (eV)	Density_(g_cm-3)	KV_(GPa)	GV_(GPa)	KR_(GPa)	GR_(GPa)
sg	0.0008223670143543460000	0.0237638499435507000000	0.0519161788075088000000	0.0263188200925681000000	0.0080524734161636700000	0.0095558664131939500000	0.0081724729617045400000
Li	0.7311643571833600000000	0.0442287160624366000000	0.0163170060814149000000	0.0000002433034771717810	0.0000031693246686319000	0.0000003115324911819170	0.0000006043001678829230
Na	0.1229814202704230000000	0.0221383414409226000000	0.0000001400895312938480	0.0000000707038489511701	0.0000091595655065472000	0.0001087753443829350000	0.0000000535942086583462
K	0.0000015012090794755400	0.0000001836884432955640	0.0000001434480956593690	0.0000001630842354931890	0.0000008279401150161460	0.0001809095981610980000	0.0000002102996791212230
Rb	0.3878868069026910000000	0.0230732035045442000000	0.0043315100091145000000	0.0000002774100246169860	0.0000001392844132116350	0.0000000467163030386165	0.0000001612505562329150
Cs	0.6670095288345120000000	0.0000003510269256225220	0.0000000230593924991738	0.0000001096501027228620	0.0000006472425275881590	0.0000001405870049514370	0.0000002555224544690920
Be	0.0000035873518624848400	0.0024342699885699000000	0.0066352991549934500000	0.0005137050946816090000	0.0176997204874384000000	0.0077443770590600700000	0.0069171673767574800000
Mg	0.6407853111939880000000	0.1385345174229760000000	0.0019865042685727900000	0.0040046845139625700000	0.0036367385216991400000	0.0089030598474598800000	0.0347143184325335000000
Ca	0.4055255091723790000000	0.0130958104638605000000	0.0932488231257570000000	0.0176311547723849000000	0.0016794429397381700000	0.0078297789150782600000	0.0190167351601518000000
Sr	0.0521017312999434000000	0.0663165976504591000000	0.0044683634771471400000	0.0091265047450889100000	0.0061475201702497700000	0.0039954652039909200000	0.0073141118084287100000
Ba	0.0541233134703655000000	0.0144720481409923000000	0.0030508088906399500000	0.0022822187498398800000	0.0059733568289582400000	0.0022844692571345300000	0.0033213408666600000000
Sc	0.4064622699508760000000	0.0664752929088952000000	0.0910822574439505000000	0.0333452147149114000000	0.0499762233303946000000	0.0264287573176685000000	0.0234448371525531000000
Y	0.0069810209229620600000	0.0697335515585751000000	0.2251433569950540000000	0.0000002341272382421530	0.0000034988690486140700	0.0090966368028852700000	0.0018994873888558100000
Ti	0.0257701907477446000000	0.0186820728463340000000	0.0713870196148281000000	0.0144087074547080000000	0.0204445946480977000000	0.0136582000568370000000	0.0116347538798292000000
Zr	0.1314432995980860000000	0.2135284125882000000000	0.0120868396892312000000	0.0449830427841194000000	0.0385017565420767000000	0.0111171755961702000000	0.0236122882511306000000
Hf	0.0005648067567754100000	0.0969109929168396000000	0.0028241896117550300000	0.0648821496370132000000	0.0584720101491565000000	0.1797426982354790000000	0.0364471534843843000000
V	0.4412492423954910000000	0.0092994023810529300000	0.9999999802788580000000	0.0587531607677588000000	0.0864002866714067000000	0.0141681520792078000000	0.0868416307726699000000
Nb	0.1349451001787360000000	0.5880846790454860000000	0.4638213017162230000000	0.0054307896746321200000	0.0381427225077397000000	0.0045136102231639500000	0.0238116691243546000000
Ta	0.0041449397706380400000	0.0014032655298052200000	0.0014065289622170300000	0.0701599259473082000000	0.1789584309085840000000	0.0540040249501201000000	0.1362590895800080000000
Cr	0.9999999486899660000000	0.2966891911351780000000	0.3157042003736450000000	0.3067498928038160000000	0.0767918647826975000000	0.0880815089063910000000	0.0436626839374443000000
Mo	0.4811234468046110000000	0.0248355229110134000000	0.4311209929801980000000	0.1350557304818580000000	0.0543202142355746000000	0.1203333219179750000000	0.0676454311051481000000
W	0.0879747471894122000000	0.0630287887399201000000	0.0035447222182915200000	0.0528680760169399000000	0.0103772476905172000000	0.0678626238781002000000	0.0479532433721248000000
Mn	0.9999998408892800000000	0.0010785840145331000000	0.1080174177706700000000	0.1453229512288890000000	0.0969442383097026000000	0.0839159923470104000000	0.0708699456119810000000
Tc	0.9999997601065440000000	0.2415082546655990000000	0.0324703820331105000000	0.0011488113114856700000	0.0484049657926992000000	0.0031746595631798100000	0.0069804744261495900000
Re	0.0000212931715906599000	0.0092568780163449400000	0.0058947785012266500000	0.0009326337450302040000	0.0097632080303120200000	0.0025336206974147400000	0.0056966316908272300000
Fe	0.6957716460743790000000	0.0002499226357371640000	0.0767753002774364000000	0.0138274510254076000000	0.0172904293482695000000	0.0021145409338675500000	0.0432366538742276000000
Ru	0.0004044665422482900000	0.0609033636013374000000	0.0394629125299472000000	0.0142450058844235000000	0.0482042475983616000000	0.0258222402195110000000	0.0287255574874394000000
Os	0.0004303538863691510000	0.1153175095359150000000	0.0000124193394204254000	0.0007906629532049710000	0.0016800081012543200000	0.0008237271650895000000	0.0019765233507145600000
Co	0.9999996607954830000000	0.0006120993006785600000	0.1036414504540200000000	0.0613159451226601000000	0.0643447346419395000000	0.0381907214762960000000	0.0480584839915719000000
