	Energy_(eV)	Formation Energy per Atom (eV)	Density_(g_cm-3)	Band_Gap_(eV)	Fermi_Level_(eV)
sg	0.0003050062351743550000	0.0022685555277327500000	0.1409280296637350000000	0.0033894184536367200000	0.0378081993330078000000
Li	0.0000005799899220706350	0.0026433809323432500000	0.0008235491191019030000	0.0001185249207702300000	0.0003853275852865370000
Na	0.0396617041301294000000	0.0000000565980103085491	0.0000000998244964786187	0.0000082858995235832700	0.0000000545011136139593
K	0.0000000437518993426079	0.0000000429326797008297	0.0000000109675281821328	0.0000003086835960669360	0.0000003338502705778240
Rb	0.0000003251184881505050	0.0225619143038360000000	0.0000011068473192732200	0.3988863338758300000000	0.0003890816097631870000
Cs	0.0000000207772006828714	0.0707603448910581000000	0.0000001483367765369730	0.1886959393960280000000	0.0022915895432957200000
Be	0.0000002337437323392890	0.0000001134187950216010	0.0019981217681449500000	0.0000001328270261882070	0.0209331486571247000000
Mg	0.0000038977654685605700	0.0026235352165368500000	0.0009549008851751450000	0.0000003079424167973190	0.0012023899711342600000
Ca	0.0000006730721810341460	0.0000157400926119959000	0.0004735698795292330000	0.0000016207647225021200	0.0006380582397833460000
Sr	0.0000001532650061105560	0.0000109910242540593000	0.0000002141892558814690	0.0000008141502257359260	0.0002961323702949130000
Ba	0.0000000639589725066690	0.0000130633257161875000	0.0000003038634705341110	0.0000008011204470650620	0.0003578574943219900000
Sc	0.0437824231276893000000	0.0000000213511702325470	0.0000010667456020472500	0.0000000161123735787391	0.6174756696921840000000
Y	0.0000002326949102739570	0.0000001761110998963170	0.0000000258055049507863	0.0095886056965848300000	0.9975830448628300000000
La	0.0000264208987264960000	0.0000000793912895544690	0.0000004074569756006010	0.1192454146411770000000	0.0000000420367627768051
Ce	0.9999994088330080000000	0.0007430991953240550000	0.0000002719437817420610	0.0009140034562252570000	0.0019379191576407200000
Pr	0.0713964898398156000000	0.0003526536308360510000	0.0000374080980816495000	0.0045925238027525700000	0.0103406984122596000000
Nd	0.0000005771935714248850	0.0000006086279783453820	0.0000001197227433528260	0.0003195204849498560000	0.0094146282750626100000
Pm	0.0000005786226299910290	0.0000001087285696488730	0.0000003047881908052960	0.0000000001456316680448	0.0271551481793401000000
Sm	0.0000017522815282402600	0.0065166969726017600000	0.0000000409921421514173	0.0850577861555236000000	0.0053207222928257400000
Eu	0.0000002275097224657070	0.0168426567335447000000	0.0000000959958442385539	0.0000007166806504474330	0.0000003067827770612760
Gd	0.0000003595029745718380	0.0000019814668661096200	0.0000002614504892289240	0.0331087670539519000000	0.0002497634843629180000
Tb	0.1677039570536740000000	0.0004053527257559360000	0.0000000515362082488094	0.1461862716339570000000	0.0004053670636969510000
Dy	0.0018909898653467800000	0.1172733716754850000000	0.0001754229741331010000	0.0744358749035317000000	0.2328015270749280000000
